1350,1245,1408
1350,1256,1245
1319,1131,1190
1190,940,1003
1131,940,1190
1131,856,940
1003,785,822
822,819,1004
785,819,822
785,674,819
856,729,940
940,785,1003
729,785,940
729,674,785
856,627,729
729,558,674
627,558,729
627,408,558
1004,1039,1201
1201,1239,1397
1039,1239,1201
1039,1032,1239
1397,1303,1350
1350,1152,1256
1303,1152,1350
1303,1088,1152
1032,1242,1239
1239,1303,1397
1242,1303,1239
1242,1088,1303
1032,1063,1242
1242,1111,1088
1063,1111,1242
1063,1036,1111
408,463,558
558,619,674
463,619,558
463,711,619
674,807,819
819,1039,1004
807,1039,819
807,1032,1039
711,849,619
619,807,674
849,807,619
849,1032,807
711,890,849
849,1063,1032
890,1063,849
890,1036,1063
408,304,463
463,550,711
304,550,463
304,378,550
711,795,890
890,879,1036
795,879,890
795,673,879
378,623,550
550,795,711
623,795,550
623,673,795
378,574,623
623,606,673
574,606,623
574,583,606
1537,1566,1678
1678,1703,1801
1566,1703,1678
1566,1586,1703
1801,1788,1858
1858,1922,1884
1788,1922,1858
1788,1782,1922
1586,1719,1703
1703,1788,1801
1719,1788,1703
1719,1782,1788
1586,1592,1719
1719,1661,1782
1592,1661,1719
1592,1493,1661
1884,1994,1914
1914,2095,2078
1994,2095,1914
1994,2096,2095
2078,2295,2202
2202,2397,2217
2295,2397,2202
2295,2374,2397
2096,2284,2095
2095,2295,2078
2284,2295,2095
2284,2374,2295
2096,2115,2284
2284,2227,2374
2115,2227,2284
2115,2093,2227
1493,1612,1661
1661,1768,1782
1612,1768,1661
1612,1771,1768
1782,1934,1922
1922,1994,1884
1934,1994,1922
1934,2096,1994
1771,1901,1768
1768,1934,1782
1901,1934,1768
1901,2096,1934
1771,1910,1901
1901,2115,2096
1910,2115,1901
1910,2093,2115
1493,1482,1612
1612,1656,1771
1482,1656,1612
1482,1533,1656
1771,1794,1910
1910,1937,2093
1794,1937,1910
1794,1807,1937
1533,1674,1656
1656,1794,1771
1674,1794,1656
1674,1807,1794
1533,1580,1674
1674,1752,1807
1580,1752,1674
1580,1681,1752
2217,2442,2203
2203,2407,2233
2442,2407,2203
2442,2127,2407
2233,2278,2359
2359,2076,2120
2278,2076,2359
2278,1921,2076
2127,2042,2407
2407,2278,2233
2042,2278,2407
2042,1921,2278
2127,1924,2042
2042,1870,1921
1924,1870,2042
1924,2012,1870
2120,1902,1936
1936,1815,1827
1902,1815,1936
1902,1813,1815
1827,1875,1856
1856,2070,2026
1875,2070,1856
1875,2107,2070
1813,1923,1815
1815,1875,1827
1923,1875,1815
1923,2107,1875
1813,2111,1923
1923,2302,2107
2111,2302,1923
2111,2331,2302
2012,1980,1870
1870,1847,1921
1980,1847,1870
1980,2088,1847
1921,1831,2076
2076,1902,2120
1831,1902,2076
1831,1813,1902
2088,1964,1847
1847,1831,1921
1964,1831,1847
1964,1813,1831
2088,2255,1964
1964,2111,1813
2255,2111,1964
2255,2331,2111
2012,2206,1980
1980,2044,2088
2206,2044,1980
2206,1966,2044
2088,1951,2255
2255,1944,2331
1951,1944,2255
1951,1894,1944
1966,1891,2044
2044,1951,2088
1891,1951,2044
1891,1894,1951
1966,1974,1891
1891,2112,1894
1974,2112,1891
1974,2393,2112
1681,1800,1752
1752,1933,1807
1800,1933,1752
1800,1955,1933
1807,1993,1937
1937,2148,2093
1993,2148,1937
1993,2308,2148
1955,2089,1933
1933,1993,1807
2089,1993,1933
2089,2308,1993
1955,2087,2089
2089,2128,2308
2087,2128,2089
2087,2353,2128
2093,2356,2227
2227,2099,2374
2356,2099,2227
2356,2316,2099
2374,2181,2397
2397,2442,2217
2181,2442,2397
2181,2127,2442
2316,1990,2099
2099,2181,2374
1990,2181,2099
1990,2127,2181
2316,2152,1990
1990,1924,2127
2152,1924,1990
2152,2012,1924
2353,2104,2128
2128,2381,2308
2104,2381,2128
2104,2185,2381
2308,2428,2148
2148,2356,2093
2428,2356,2148
2428,2316,2356
2185,2437,2381
2381,2428,2308
2437,2428,2381
2437,2316,2428
2185,2436,2437
2437,2152,2316
2436,2152,2437
2436,2012,2152
2353,2307,2104
2104,2049,2185
2307,2049,2104
2307,2318,2049
2185,2085,2436
2436,2206,2012
2085,2206,2436
2085,1966,2206
2318,2011,2049
2049,2085,2185
2011,2085,2049
2011,1966,2085
2318,2364,2011
2011,1974,1966
2364,1974,2011
2364,2393,1974
1681,1741,1800
1800,1802,1955
1741,1802,1800
1741,1677,1802
1955,1940,2087
2087,2109,2353
1940,2109,2087
1940,1912,2109
1677,1769,1802
1802,1940,1955
1769,1940,1802
1769,1912,1940
1677,1625,1769
1769,1780,1912
1625,1780,1769
1625,1699,1780
2353,2198,2307
2307,2343,2318
2198,2343,2307
2198,2161,2343
2318,2469,2364
2364,2444,2393
2469,2444,2364
2469,2482,2444
2161,2443,2343
2343,2469,2318
2443,2469,2343
2443,2482,2469
2161,2303,2443
2443,2471,2482
2303,2471,2443
2303,2365,2471
1699,1885,1780
1780,1935,1912
1885,1935,1780
1885,2122,1935
1912,1999,2109
2109,2198,2353
1999,2198,2109
1999,2161,2198
2122,2079,1935
1935,1999,1912
2079,1999,1935
